gender,dept,gt,it,wk,l1,category_zh,n_total,n_designs,n_clients,confidence,top_client,top_client_pct,top3_clients,top_iso,top_iso_pct,top_method_en,top_method_pct,ie_avg_sec,iso_count,method_count,top_machine,top_skill,top_section
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,LB,商標,66,24,3,high,A & F,50.0,A & F(50.0%) / TARGET(45.5%) / UNDER ARMOUR(4.5%),301,100.0,Marking,46.1,0.028,1,5,手工-含做記號、翻修等工段,E,做記號
BOY,SLEEPWEAR/RTW,BOTTOM,PANTS,KNIT,PS,褲合身,65,7,1,low,TARGET,100.0,TARGET(100.0%),514,81.8,4-thread Overlock,53.3,0.022,3,8,四線拷克,B,打結(一個)
BABY,ACTIVE,BOTTOM,PANTS,WOVEN,PS,褲合身,65,12,2,medium,TARGET,75.4,TARGET(75.4%) / A & F(24.6%),514,43.9,4-thread Overlock,33.3,0.032,4,6,手工-含做記號、翻修等工段,B,合內長
BOY,ACTIVE,BOTTOM,PANTS,KNIT,LB,商標,64,26,5,high,A & F,75.0,A & F(75.0%) / GAP(15.6%) / UNDER ARMOUR(3.1%),301,100.0,Marking,49.8,0.027,1,4,手工-含做記號、翻修等工段,E,做記號
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,PK,口袋,63,12,2,medium,TARGET,87.7,TARGET(87.7%) / UNDER ARMOUR(12.3%),301,61.9,Lockstitch,31.2,0.057,4,9,平車-細針距,B,固定袋布
BABY,ACTIVE,BOTTOM,PANTS,KNIT,PS,褲合身,63,12,5,high,OLD NAVY,27.0,OLD NAVY(27.0%) / A & F(27.0%) / GAP(19.0%),514,88.8,4-thread Overlock,76.0,0.028,3,7,四線拷克,B,合內長
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,BN,貼合,62,8,3,high,TARGET,66.1,TARGET(66.1%) / BEYOND YOGA(30.6%) / DICKS SPORTING GOODS(3.2%),301,100.0,Marking,65.9,0.095,1,6,手工-含做記號、翻修等工段,E,修頭尾
WOMEN,RTW,BOTTOM,PANTS,KNIT,SB,剪接線_下身類,60,18,5,high,ASICS-EU,40.0,ASICS-EU(40.0%) / WAL-MART-CA(40.0%) / KOHLS(10.0%),514,40.3,4-thread Overlock,29.1,0.073,5,9,手工-含做記號、翻修等工段,B,做記號
MEN,RTW,BOTTOM,PANTS,WOVEN,LB,商標,60,28,7,high,GU,25.0,GU(25.0%) / ZARA(23.3%) / WAL-MART-CA(20.0%),301,98.4,Marking,44.5,0.032,2,6,手工-含做記號、翻修等工段,E,做記號
BOY,RTW,BOTTOM,PANTS,WOVEN,PK,口袋,59,7,5,high,ZARA,40.0,ZARA(40.0%) / DICKS SPORTING GOODS(20.0%) / GU(15.0%),301,56.8,Lockstitch,24.9,0.052,5,10,平車-細針距,B,打結(四個)
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,BN,貼合,56,16,2,medium,BEYOND YOGA,53.6,BEYOND YOGA(53.6%) / ATHLETA(46.4%),301,100.0,Marking,50.0,0.077,1,5,手工-含做記號、翻修等工段,E,修頭尾
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,OT,其它,55,12,2,low,A & F,86.4,A & F(86.4%) / UNDER ARMOUR(13.6%),301,90.6,Lockstitch,60.7,0.022,5,8,帶刀平車,C,腰頭游線
MEN,RTW,BOTTOM,PANTS,KNIT,PK,口袋,54,10,5,high,HIGH LIFE LLC,40.3,HIGH LIFE LLC(40.3%) / KOHLS(21.0%) / ASICS-EU(17.7%),301,61.7,Lockstitch,35.4,0.074,5,9,平車-細針距,E,固定袋布
BOY,ACTIVE,BOTTOM,PANTS,KNIT,LO,褲口,54,26,5,high,A & F,70.7,A & F(70.7%) / GAP(17.2%) / TARGET(6.9%),514,53.1,4-thread Overlock,28.1,0.063,5,10,手工-含做記號、翻修等工段,E,修褲口
MEN,RTW,BOTTOM,PANTS,WOVEN,LO,褲口,53,28,7,high,GU,39.6,GU(39.6%) / WAL-MART-CA(24.5%) / ZARA(13.2%),301,40.0,Marking,22.2,0.085,7,11,手工-含做記號、翻修等工段,B,壓褲口
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,LI,裡布,53,27,4,high,DICKS SPORTING GOODS,60.4,DICKS SPORTING GOODS(60.4%) / TARGET(22.6%) / UNDER ARMOUR(13.2%),301,81.5,Marking,46.5,0.039,3,5,手工-含做記號、翻修等工段,E,短褲翻修(內裡短褲)
BOY,RTW,BOTTOM,PANTS,WOVEN,LO,褲口,53,35,6,high,GAP,75.4,GAP(75.4%) / ZARA(7.0%) / DICKS SPORTING GOODS(7.0%),301,49.4,Lockstitch,28.4,0.071,6,10,平車-細針距,B,壓褲口
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,OT,其它,53,30,5,high,A & F,49.0,A & F(49.0%) / OLD NAVY(25.0%) / ATHLETA(21.0%),301,65.2,Marking,40.1,0.014,6,12,手工-含做記號、翻修等工段,E,其它
MEN,RTW,BOTTOM,PANTS,WOVEN,DC,繩類,52,28,7,high,GU,63.0,GU(63.0%) / WAL-MART-CA(11.1%) / ZARA(9.3%),301,100.0,Marking,42.2,0.084,1,4,手工-含做記號、翻修等工段,E,繩固定大身
GIRL,RTW,BOTTOM,PANTS,WOVEN,PS,褲合身,51,7,2,medium,GAP,58.8,GAP(58.8%) / GU(41.2%),516,54.7,5-thread Overlock,45.6,0.025,3,5,五線拷克,B,合外長
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,BN,貼合,50,23,4,high,DICKS SPORTING GOODS,52.0,DICKS SPORTING GOODS(52.0%) / UNDER ARMOUR(38.0%) / KOHLS(6.0%),301,60.0,Marking,35.9,0.085,2,8,手工-含做記號、翻修等工段,D,熱轉印
BOY,RTW,BOTTOM,PANTS,KNIT,PK,口袋,49,11,5,high,OLD NAVY,32.7,OLD NAVY(32.7%) / ZARA(20.4%) / GAP(20.4%),301,52.5,Lockstitch,26.9,0.058,3,7,平車-細針距,B,做口袋記號
MEN,FLEECE,BOTTOM,PANTS,KNIT,PS,褲合身,48,5,2,medium,QUINCE,89.6,QUINCE(89.6%) / OLD NAVY(10.4%),514,64.6,4-thread Overlock,48.3,0.046,3,6,四線拷克,B,合內長
MEN,RTW,BOTTOM,PANTS,WOVEN,BS,釦鎖,47,28,7,high,GU,63.8,GU(63.8%) / ZARA(14.9%) / WAL-MART-CA(8.5%),,,Buttonhole,53.2,0.037,0,3,燙工-手燙,C,燙襯
WOMEN,FLEECE,BOTTOM,PANTS,KNIT,PK,口袋,46,8,1,low,OLD NAVY,100.0,OLD NAVY(100.0%),514,53.6,4-thread Overlock,27.9,0.047,3,7,平車-細針距,B,做口袋記號
BOY,RTW,BOTTOM,PANTS,KNIT,LB,商標,46,20,5,high,GAP,56.5,GAP(56.5%) / OLD NAVY(17.4%) / ZARA(13.0%),301,100.0,Marking,50.3,0.025,1,4,平車-細針距,E,做記號
BABY,ACTIVE,BOTTOM,PANTS,KNIT,PK,口袋,46,7,4,high,GAP,34.8,GAP(34.8%) / OLD NAVY(26.1%) / TARGET(21.7%),301,55.3,Lockstitch,28.0,0.047,2,6,平車-細針距,B,固定袋布
WOMEN,RTW,BOTTOM,PANTS,WOVEN,PD,褶,45,26,5,high,GU,68.9,GU(68.9%) / TARGET(17.8%) / KOHLS(6.7%),301,66.7,Lockstitch,44.2,0.064,3,6,平車-細針距,B,做記號
BOY,RTW,BOTTOM,PANTS,KNIT,LO,褲口,45,20,5,high,GAP,54.3,GAP(54.3%) / OLD NAVY(19.6%) / GAP OUTLET(13.0%),406,56.1,Coverstitch,27.7,0.056,4,8,手工-含做記號、翻修等工段,E,修褲口
BOY,ACTIVE,BOTTOM,PANTS,KNIT,PK,口袋,44,6,4,high,GAP,54.0,GAP(54.0%) / TARGET(18.0%) / OLD NAVY(16.0%),301,54.3,Lockstitch,29.8,0.049,4,9,平車-細針距,B,拷袋布
MEN,ACTIVE,BOTTOM,SHORTS,WOVEN,LB,商標,43,15,3,high,DISTANCE,58.1,DISTANCE(58.1%) / DICKS SPORTING GOODS(25.6%) / TARGET(16.3%),301,100.0,Marking,38.2,0.031,1,5,手工-含做記號、翻修等工段,E,做記號
BOY,RTW,BOTTOM,PANTS,KNIT,WB,腰頭,43,20,5,high,GAP,56.0,GAP(56.0%) / GAP OUTLET(16.0%) / ZARA(10.0%),514,42.5,Marking,31.1,0.077,5,8,手工-含做記號、翻修等工段,E,剪+量鬆緊帶
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,SB,剪接線_下身類,42,18,1,low,TARGET,100.0,TARGET(100.0%),514,47.6,4-thread Overlock,44.9,0.033,6,9,五線拷克,B,合直向剪接
MEN,ACTIVE,BOTTOM,PANTS,KNIT,BN,貼合,41,14,3,high,OLD NAVY,58.5,OLD NAVY(58.5%) / KOHLS(34.1%) / S1 DEVELOPING(7.3%),301,100.0,Pressing,41.9,0.097,1,4,手工-含做記號、翻修等工段,D,貼拉鍊框OT膠(含撕背膠/小燙)
MEN,FLEECE,BOTTOM,PANTS,KNIT,PK,口袋,41,5,2,medium,QUINCE,68.3,QUINCE(68.3%) / OLD NAVY(31.7%),301,53.1,Lockstitch,31.7,0.097,3,6,平車-細針距,B,做口袋記號
MEN,ACTIVE,BOTTOM,SHORTS,WOVEN,WB,腰頭,40,15,3,high,DISTANCE,62.8,DISTANCE(62.8%) / DICKS SPORTING GOODS(20.9%) / TARGET(16.3%),301,65.9,Marking,37.2,0.113,6,9,手工-含做記號、翻修等工段,E,做上腰頭記號
MEN,ACTIVE,BOTTOM,SHORTS,WOVEN,LO,褲口,40,15,3,high,DISTANCE,59.1,DISTANCE(59.1%) / DICKS SPORTING GOODS(29.5%) / TARGET(11.4%),514,39.6,Pressing,28.7,0.055,5,10,燙工-手燙,C,燙折褲口一道
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,LO,褲口,39,24,3,high,TARGET,58.5,TARGET(58.5%) / A & F(34.1%) / UNDER ARMOUR(7.3%),301,43.5,Marking,24.1,0.085,5,9,手工-含做記號、翻修等工段,B,壓褲口
WOMEN,RTW,BOTTOM,PANTS,WOVEN,BS,釦鎖,39,35,7,high,GU,61.5,GU(61.5%) / TARGET(10.3%) / WAL-MART-CA(10.3%),,,Buttonhole,60.3,0.024,0,4,燙工-手燙,C,燙襯
MEN,RTW,BOTTOM,PANTS,WOVEN,LI,裡布,39,16,5,high,GU,38.5,GU(38.5%) / ZARA(25.6%) / WAL-MART-CA(20.5%),301,69.6,Marking,54.3,0.046,2,5,手工-含做記號、翻修等工段,E,做記號
BOY,RTW,BOTTOM,PANTS,KNIT,OT,其它,39,16,3,high,GAP,61.7,GAP(61.7%) / OLD NAVY(36.7%) / GAP OUTLET(1.7%),301,87.5,Marking,59.5,0.055,2,6,手工-含做記號、翻修等工段,E,其它
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,FY,前立,38,30,4,high,DICKS SPORTING GOODS,36.8,DICKS SPORTING GOODS(36.8%) / TARGET(34.2%) / UNDER ARMOUR(15.8%),301,51.8,Lockstitch,34.3,0.07,4,7,平車-細針距,B,打結*1
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,ZP,拉鍊,38,22,4,high,UNDER ARMOUR,75.0,UNDER ARMOUR(75.0%) / DICKS SPORTING GOODS(20.8%) / KOHLS(2.1%),301,66.7,Lockstitch,38.3,0.101,4,8,平車-細針距,B,拉鍊燙拔(兩條)
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,PD,褶,38,27,4,high,UNDER ARMOUR,46.2,UNDER ARMOUR(46.2%) / DICKS SPORTING GOODS(30.8%) / TARGET(17.9%),301,92.3,Lockstitch,40.6,0.053,4,6,平車-細針距,B,做記號
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,OT,其它,38,10,3,medium,A & F,50.9,A & F(50.9%) / TARGET(30.2%) / DICKS SPORTING GOODS(18.9%),514,31.0,4-thread Overlock,21.7,0.02,8,10,手工-含做記號、翻修等工段,C,腰頭游線
MEN,UNKNOWN,BOTTOM,PANTS,KNIT,OT,其它,38,3,2,medium,XBODY HUNGARY KFT,71.8,XBODY HUNGARY KFT(71.8%) / V5 DEVELOPING(28.2%),301,100.0,Marking,46.3,0.167,1,6,手工-含做記號、翻修等工段,E,其它
BABY,ACTIVE,BOTTOM,PANTS,WOVEN,WB,腰頭,38,12,2,medium,TARGET,80.5,TARGET(80.5%) / A & F(19.5%),301,57.7,Lockstitch,33.8,0.056,5,9,手工-含做記號、翻修等工段,E,做上腰頭記號
WOMEN,FLEECE,BOTTOM,PANTS,KNIT,PS,褲合身,37,8,1,low,OLD NAVY,100.0,OLD NAVY(100.0%),514,96.6,4-thread Overlock,73.7,0.042,2,3,四線拷克,B,打結(一個)
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,DC,繩類,37,34,1,low,TARGET,100.0,TARGET(100.0%),301,100.0,Marking,40.6,0.094,1,3,手工-含做記號、翻修等工段,E,繩固定大身
WOMEN,SLEEPWEAR,BOTTOM,PANTS,KNIT,PS,褲合身,37,8,1,low,KOHLS,100.0,KOHLS(100.0%),514,53.9,4-thread Overlock,45.7,0.059,3,4,四線拷克,B,合前後襠
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,SB,剪接線_下身類,36,14,4,high,OLD NAVY,45.9,OLD NAVY(45.9%) / KOHLS(37.8%) / ATHLETA(10.8%),514,54.4,4-thread Overlock,43.6,0.05,5,8,四線拷克,B,合橫向剪接
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,SB,剪接線_下身類,35,11,1,low,TARGET,100.0,TARGET(100.0%),514,36.0,Marking,27.5,0.033,5,8,手工-含做記號、翻修等工段,B,做記號
GIRL,ACTIVE,BOTTOM,SHORTS,WOVEN,PS,褲合身,35,7,1,low,TARGET,100.0,TARGET(100.0%),607,37.5,Flatlock,32.3,0.024,5,7,拼縫車-四針六線,B,合內長
BABY,ACTIVE,BOTTOM,PANTS,KNIT,WB,腰頭,35,12,5,high,A & F,32.5,A & F(32.5%) / GAP OUTLET(25.0%) / GAP(20.0%),301,43.9,Marking,26.9,0.061,4,8,手工-含做記號、翻修等工段,E,做鬆緊帶記號
MEN,RTW,BOTTOM,PANTS,KNIT,SB,剪接線_下身類,34,8,4,high,HIGH LIFE LLC,52.9,HIGH LIFE LLC(52.9%) / ASICS-EU(26.5%) / WAL-MART-CA(17.6%),514,49.0,Marking,32.0,0.046,5,8,手工-含做記號、翻修等工段,B,做記號
BOY,ACTIVE,BOTTOM,PANTS,KNIT,OT,其它,34,23,5,high,A & F,71.4,A & F(71.4%) / UNDER ARMOUR(11.7%) / TARGET(7.8%),301,58.5,Marking,35.4,0.021,4,8,手工-含做記號、翻修等工段,E,其它
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,BP,襬叉,34,16,7,high,ATHLETA,38.2,ATHLETA(38.2%) / GAP OUTLET(26.5%) / OLD NAVY(14.7%),301,47.5,Lockstitch,29.9,0.082,4,8,平車-細針距,B,合叉上一段
WOMEN,RTW,BOTTOM,PANTS,WOVEN,DC,繩類,34,30,6,high,GU,61.8,GU(61.8%) / OLD NAVY(14.7%) / WAL-MART-CA(11.8%),301,100.0,Marking,44.7,0.084,1,5,手工-含做記號、翻修等工段,C,繩固定大身
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,DC,繩類,33,20,3,high,A & F,61.5,A & F(61.5%) / TARGET(30.8%) / UNDER ARMOUR(7.7%),301,100.0,Lockstitch,37.8,0.07,1,4,平車-細針距,E,繩固定大身
MEN,ACTIVE,BOTTOM,PANTS,KNIT,FY,前立,33,33,5,high,KOHLS,45.5,KOHLS(45.5%) / OLD NAVY(30.3%) / DICKS SPORTING GOODS(12.1%),301,52.5,Lockstitch,34.0,0.063,6,9,平車-細針距,B,打結*1
WOMEN,RTW,BOTTOM,PANTS,KNIT,PD,褶,32,22,7,high,WAL-MART-CA,25.0,WAL-MART-CA(25.0%) / ASICS-EU(21.9%) / DICKS SPORTING GOODS(18.8%),301,76.9,Lockstitch,35.7,0.049,3,6,平車-細針距,B,做記號
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,SA,剪接線_上身類,32,12,3,high,DICKS SPORTING GOODS,87.5,DICKS SPORTING GOODS(87.5%) / GAP(6.2%) / OLD NAVY(6.2%),406,87.2,Coverstitch,43.0,0.044,3,6,筒型三本車-三針五線,B,壓直向剪接明線
BABY,ACTIVE,BOTTOM,PANTS,WOVEN,OT,其它,32,6,2,medium,A & F,85.4,A & F(85.4%) / TARGET(14.6%),301,72.9,Lockstitch,36.2,0.019,4,7,手工-含做記號、翻修等工段,C,其它
MEN,RTW,BOTTOM,PANTS,KNIT,WB,腰頭,31,10,5,high,HIGH LIFE LLC,36.1,HIGH LIFE LLC(36.1%) / ASICS-EU(22.2%) / WAL-MART-CA(22.2%),301,58.6,Lockstitch,36.0,0.074,6,8,手工-含做記號、翻修等工段,E,做鬆緊帶記號
MEN,RTW,BOTTOM,PANTS,KNIT,LO,褲口,31,10,5,high,HIGH LIFE LLC,39.4,HIGH LIFE LLC(39.4%) / WAL-MART-CA(24.2%) / ASICS-EU(21.2%),514,36.1,Marking,23.7,0.064,5,9,手工-含做記號、翻修等工段,E,修褲口
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,BS,釦鎖,31,31,1,low,TARGET,100.0,TARGET(100.0%),,,Buttonhole,75.8,0.021,0,3,鎖眼車-一般,C,燙襯
WOMEN,FLEECE,BOTTOM,PANTS,KNIT,WB,腰頭,29,8,1,low,OLD NAVY,100.0,OLD NAVY(100.0%),301,51.3,Lockstitch,29.5,0.063,3,5,手工-含做記號、翻修等工段,E,做鬆緊帶記號
GIRL,RTW,BOTTOM,PANTS,KNIT,PS,褲合身,29,6,1,low,GAP,100.0,GAP(100.0%),514,100.0,4-thread Overlock,79.3,0.031,1,2,四線拷克,B,合後襠
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,FY,前立,28,26,3,medium,ATHLETA,64.3,ATHLETA(64.3%) / BEYOND YOGA(32.1%) / UNDER ARMOUR(3.6%),301,53.2,Lockstitch,31.4,0.083,4,7,平車-細針距,B,壓前立J型
MEN,RTW,BOTTOM,PANTS,KNIT,LB,商標,27,10,5,medium,WAL-MART-CA,29.6,WAL-MART-CA(29.6%) / HIGH LIFE LLC(29.6%) / ASICS-EU(25.9%),301,100.0,Marking,47.1,0.027,1,5,手工-含做記號、翻修等工段,E,做記號
MEN,RTW,BOTTOM,PANTS,WOVEN,SB,剪接線_下身類,27,11,6,medium,WAL-MART-CA,51.6,WAL-MART-CA(51.6%) / UNDER ARMOUR(16.1%) / ZARA(9.7%),301,37.3,Lockstitch,29.1,0.035,4,6,平車-細針距,B,合後幅司弧型剪接
MEN,ACTIVE,BOTTOM,PANTS,KNIT,LI,裡布,27,11,3,medium,S1 DEVELOPING,48.1,S1 DEVELOPING(48.1%) / DICKS SPORTING GOODS(33.3%) / OLD NAVY(18.5%),301,73.9,Lockstitch,38.6,0.049,2,4,平車-粗針距,C,裁片四周固定
WOMEN,SLEEPWEAR,BOTTOM,PANTS,KNIT,WB,腰頭,27,8,1,low,KOHLS,100.0,KOHLS(100.0%),514,49.1,Marking,31.9,0.062,4,7,手工-含做記號、翻修等工段,E,做鬆緊帶記號
BABY,ACTIVE,BOTTOM,PANTS,WOVEN,LB,商標,27,12,2,medium,TARGET,70.4,TARGET(70.4%) / A & F(29.6%),301,100.0,Marking,45.3,0.024,1,4,手工-含做記號、翻修等工段,E,做記號
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,BS,釦鎖,26,20,3,medium,A & F,50.0,A & F(50.0%) / TARGET(46.2%) / UNDER ARMOUR(3.8%),,,Buttonhole,77.7,0.019,0,2,鎖眼車-一般,C,燙襯
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,OT,其它,26,16,4,medium,DICKS SPORTING GOODS,70.2,DICKS SPORTING GOODS(70.2%) / UNDER ARMOUR(24.7%) / TARGET(3.0%),301,64.5,Lockstitch,44.4,0.062,8,13,手工-含做記號、翻修等工段,E,(NEW)後幅斯剪接條修片
MEN,RTW,BOTTOM,PANTS,WOVEN,FP,袋蓋,26,10,2,medium,GU,84.6,GU(84.6%) / ZARA(15.4%),301,96.2,Lockstitch,53.8,0.072,3,7,平車-細針距,B,反縫袋蓋暗線(一片式)
BABY,ACTIVE,BOTTOM,PANTS,KNIT,LO,褲口,26,12,5,medium,A & F,39.3,A & F(39.3%) / OLD NAVY(17.9%) / GAP OUTLET(14.3%),514,49.0,4-thread Overlock,28.2,0.054,4,8,手工-含做記號、翻修等工段,E,壓褲口
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,DC,繩類,25,20,5,medium,ATHLETA,60.0,ATHLETA(60.0%) / KOHLS(24.0%) / DICKS SPORTING GOODS(8.0%),301,100.0,Marking,41.6,0.053,1,4,手工-含做記號、翻修等工段,E,繩固定大身
GIRL,RTW,BOTTOM,PANTS,WOVEN,WB,腰頭,25,7,2,medium,GAP,60.0,GAP(60.0%) / GU(40.0%),301,59.2,Lockstitch,33.7,0.064,3,6,手工-含做記號、翻修等工段,E,做鬆緊帶記號
GIRL,ACTIVE,BOTTOM,SHORTS,WOVEN,WB,腰頭,25,7,1,low,TARGET,100.0,TARGET(100.0%),301,64.5,Lockstitch,36.1,0.051,4,7,手工-含做記號、翻修等工段,E,做鬆緊帶記號
MEN,UNKNOWN,BOTTOM,PANTS,KNIT,PS,褲合身,25,3,2,medium,XBODY HUNGARY KFT,64.0,XBODY HUNGARY KFT(64.0%) / V5 DEVELOPING(36.0%),514,76.9,4-thread Overlock,69.0,0.039,2,5,四線拷克,B,合前襠
BABY,ACTIVE,BOTTOM,PANTS,WOVEN,LO,褲口,25,12,2,medium,TARGET,84.0,TARGET(84.0%) / A & F(16.0%),514,38.1,4-thread Overlock,27.8,0.168,5,9,平車-細針距,B,壓褲口
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,QT,行縫(固定棉),25,9,2,medium,OLD NAVY,96.0,OLD NAVY(96.0%) / TARGET(4.0%),301,96.0,Lockstitch,92.3,0.095,2,3,平車-粗針距,C,裁片四周固定
WOMEN,SLEEPWEAR,BOTTOM,PANTS,KNIT,PK,口袋,24,6,1,low,KOHLS,100.0,KOHLS(100.0%),301,57.1,Lockstitch,25.0,0.062,3,7,手工-含做記號、翻修等工段,B,做口袋記號
BABY,ACTIVE,BOTTOM,PANTS,KNIT,LB,商標,24,12,5,medium,A & F,41.7,A & F(41.7%) / OLD NAVY(16.7%) / GAP OUTLET(16.7%),301,100.0,Marking,48.7,0.027,1,4,手工-含做記號、翻修等工段,E,做記號
WOMEN,RTW,BOTTOM,PANTS,KNIT,OT,其它,23,11,7,medium,TARGET,59.2,TARGET(59.2%) / ASICS-EU(12.2%) / BANANA REPUBLIC(8.2%),301,39.1,Marking,45.5,0.006,3,6,手工-含做記號、翻修等工段,E,鎖占比
MEN,RTW,BOTTOM,PANTS,WOVEN,FY,前立,23,16,4,medium,GU,65.2,GU(65.2%) / ZARA(21.7%) / WAL-MART(8.7%),301,67.1,Lockstitch,56.0,0.103,4,7,平車-細針距,C,壓前立J型
BOY,ACTIVE,BOTTOM,PANTS,KNIT,DC,繩類,23,16,5,medium,A & F,81.2,A & F(81.2%) / GAP(9.4%) / UNDER ARMOUR(3.1%),301,96.1,Lockstitch,39.8,0.062,2,4,平車-細針距,C,繩固定大身
